Store,Cluster,Date,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,RollingMean_7,RollingMedian_7,RollingStd_7,RollingMean_30,RollingMedian_30,RollingStd_30,CompetitionDistance,Promo,Promo2,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,Sales
55,0,2013-01-30,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.4937755501599772,0.869589389346611,3528.0,5463.0,3954.0,3475.0,3583.0,1722.40674638716,3954.733333333333,4028.0,2095.0269347841963,720.0,0,0,1,0,0,0,1,0,0,3583
55,0,2013-01-31,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.5086709438521044,0.8609610158889943,3583.0,4893.0,3667.0,3353.0,3583.0,1633.1612494382389,4089.366666666667,4035.0,1957.3768421790555,720.0,0,0,1,0,0,0,1,0,0,4039
55,0,2013-02-01,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5234156073655503,0.8520775211013093,4039.0,5333.0,4485.0,3272.285714285714,3583.0,1529.6794559956804,4097.766666666666,4035.0,1959.8100661549577,720.0,0,0,1,0,0,0,1,0,0,4768
55,0,2013-02-02,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,4768.0,3143.0,3682.0,3292.714285714286,3583.0,1528.6196076074345,4072.9333333333334,4032.0,1965.3973527058058,720.0,0,0,1,0,0,0,1,0,0,3286
55,0,2013-02-03,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,3286.0,0.0,0.0,3292.714285714286,3583.0,1528.6196076074345,3918.866666666667,3989.5,2097.5850767067805,720.0,0,0,1,0,0,0,1,0,0,0
55,0,2013-02-04,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,0.0,3845.0,5990.0,3760.1428571428573,3583.0,2113.8741233866813,4036.6666666666665,4032.0,2175.8468558770137,720.0,1,0,1,0,0,0,1,0,0,7117
55,0,2013-02-05,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,7117.0,3528.0,6566.0,4235.714285714285,4039.0,2407.0812002842586,4265.233333333334,4116.0,2095.868656771407,720.0,1,0,1,0,0,0,1,0,0,6857
55,0,2013-02-06,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,6857.0,3583.0,5463.0,4590.571428571428,4768.0,2476.9048465872925,4228.666666666667,4116.0,2052.6744427249278,720.0,1,0,1,0,0,0,1,0,0,6067
55,0,2013-02-07,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,6067.0,4039.0,4893.0,4724.857142857143,4979.0,2467.4805928700785,4187.566666666667,4116.0,2023.73341714717,720.0,1,0,1,0,0,0,1,0,0,4979
55,0,2013-02-08,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,4979.0,4768.0,5333.0,4811.571428571428,5375.0,2479.8841274773877,4152.1,4116.0,1991.9901736013003,720.0,1,0,1,0,0,0,1,0,0,5375
