store,cluster,x_train,y_train,x_val,y_val
1042,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
628,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
554,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1099,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
105,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
658,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
260,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1073,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
360,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
511,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
795,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
949,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
200,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
201,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
55,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
466,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
880,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
613,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
480,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
520,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
844,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
198,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
834,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
854,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
257,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
289,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
208,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
303,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
377,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
379,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
848,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
728,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
576,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
837,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
97,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
819,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
121,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
783,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
663,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
721,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
991,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
146,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
639,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
819,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
658,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1007,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
993,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
1028,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
56,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
26,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
232,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
226,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
462,0,"(723, 7, 27)","(723, 1)","(176, 7, 27)","(176, 1)"
